    0.400770436537179364E+01    0.575889339652424859E+01    0.687854037061808921E+01    0.307360679323640440E+01    0.663599945755494858E+01    0.285640520898861450E+01    0.148934149725436402E+02    0.148782323357732231E+02    0.148258612726053052E+02   -0.127249103503099867E+02
    0.462586583918138583E+01    0.684021584003555372E+01    0.724068765086645527E+00    0.724081025561257974E+01    0.773999053611784760E+01    0.304236544651575880E+01    0.148485307876754007E+02    0.147639918614333947E+02    0.147664043385071757E+02   -0.762470974454055472E+01
    0.489306187256377445E+01    0.622998761904795462E+01    0.155071563931764822E+01    0.302799635157403735E+01    0.548543609234466079E+01    0.293801981054468619E+01    0.148408807878057818E+02    0.147469956511287990E+02    0.147775844513716432E+02   -0.761988509962553717E+01
    0.378697123283518389E+01    0.240760091698498924E+01    0.444452455099542032E+01    0.531383426495359235E+01    0.538333080531568520E+01    0.294368843127727020E+01    0.149255738628751011E+02    0.148877561607512394E+02    0.148320901090015109E+02   -0.758422244356361208E+01
    0.425363963292957870E+01    0.635067244241408346E+01    0.688953736645000703E+01    0.458044709252602722E+01    0.458755926980028228E+01    0.291284018311936332E+01    0.149208634904305342E+02    0.147703510571736185E+02    0.148104122685307846E+02   -0.722383566584225001E+01
    0.542548990706243650E+01    0.500773451209792153E+01    0.557751593898283460E+01    0.298270883816264210E+01    0.314491000350363858E+01    0.226280707757188493E+01    0.148449762160429390E+02    0.147831318569259551E+02    0.147966912432147133E+02   -0.703165221771629145E+01
    0.444118026074987515E+01    0.777043209171707883E+01    0.337609096480824000E+01    0.286632753565109155E+01    0.484876295051497674E+01    0.255793420340683042E+01    0.148868918425068752E+02    0.148552885855122696E+02    0.148297066808146045E+02   -0.641361690482000579E+01
    0.530242681503295898E+01    0.721889162063598633E+01    0.327624815702438354E+01    0.270508687268321601E+01    0.617983068178430628E+01    0.230594798839092263E+01    0.148436336524031880E+02    0.148157005279893124E+02    0.148055497373977794E+02   -0.623931264077716552E+01
    0.532875598250434912E+01    0.133808322195366913E+01    0.715138809803324449E+01    0.352224803705005618E+01    0.638023020223851844E+01    0.294440208198999898E+01    0.148143904247373897E+02    0.147440648299925012E+02    0.147543226681967550E+02   -0.612165775348488683E+01
    0.290930234318169401E+01    0.170823246643280124E+01    0.191012194477684916E+01    0.573984488631935008E+01    0.751199385698771760E+01    0.239444301166078199E+01    0.152603741013777103E+02    0.150394859819817377E+02    0.150993172523355081E+02   -0.610238999333227294E+01
    0.267147984872771449E+01    0.417094263333345150E+00    0.639347123258740879E+01    0.580890359428941672E+01    0.821049447689748391E+01    0.290161667703858317E+01    0.153657290170501817E+02    0.150647604452736754E+02    0.150069544803272414E+02   -0.605014867149597979E+01
    0.557123197201296261E+01    0.424695088224316830E+01    0.664468458363049130E+01    0.317550818058574791E+01    0.572119340211754235E+01    0.254493427981988907E+01    0.148210967669211282E+02    0.147820029785340115E+02    0.147812148123153531E+02   -0.600093433213671545E+01
    0.352019618557930958E+01    0.476953224611652793E+01    0.632335136634792860E+01    0.309699652654610258E+01    0.656794264017998053E+01    0.244458939424304189E+01    0.150217744103447988E+02    0.148875499401443427E+02    0.149188222863598856E+02   -0.598791387726139934E+01
    0.364989491909766084E+01    0.136806414942323462E+01    0.621191321909371541E+00    0.470681297221843664E+01    0.681884542171137831E+01    0.225875166800147387E+01    0.150567744148135976E+02    0.149217220317110772E+02    0.149224742563710819E+02   -0.591796586965146165E+01
