    0.547558902297236028E+01    0.359673540358356192E+01    0.437373998636116479E+01    0.601504224798576015E+01    0.816967794293153204E+01    0.151209131064909656E+06    0.496809798707469152E+01    0.295296154632392005E+01    0.262671420137828360E+01    0.148206434959136217E+02    0.147984471670118527E+02    0.147857884378881970E+02   -0.100982920494767061E+02
    0.425407121425065959E+01    0.697608570446206411E+01    0.183838968644011702E+01    0.608054404049737585E+01    0.734902498710603247E+01    0.814815944892343687E+05    0.965326192623093549E-01    0.109857504723130583E+01    0.275577930872679211E+01    0.149039927268232990E+02    0.148633143911689896E+02    0.148401295410570704E+02   -0.746558588204387341E+01
    0.497358456469414278E+01    0.150487054456825242E+01    0.784006882883096834E+00    0.296676539256069027E+01    0.552968388627036411E+01    0.916080308999576687E+03    0.360611478580033601E-04    0.500173930389984034E+00    0.224253147165973221E+01    0.148961108570917915E+02    0.147876640812307159E+02    0.148366763576106493E+02   -0.733192127219502865E+01
    0.411013416099369788E+01    0.609393003173423242E+01    0.618704696083484951E+01    0.431057650042861251E+01    0.637876179553035882E+01    0.222325598760117509E+04    0.241406517158054938E-01    0.279587407689571465E+01    0.285710836093467480E+01    0.149126492208856405E+02    0.148265588687700927E+02    0.148422737543264969E+02   -0.713452238755604551E+01
    0.587110851007097612E+01    0.387309428190381722E+01    0.438223589454487517E+01    0.252573299750086200E+01    0.362931128214005039E+01    0.548508097976083718E+04    0.314687857174016030E-03    0.293717748185233080E-01    0.275415659137653268E+01    0.147917069159226529E+02    0.147761698263939589E+02    0.147500057955930242E+02   -0.701806974917960869E+01
    0.553858065486441209E+01    0.298068407498660459E+01    0.391714651485652166E+01    0.224035663160681198E+01    0.281255221961802215E+01    0.196502987311634012E+08    0.211944662832981479E+02    0.237259424560051624E+01    0.284219872477142887E+01    0.148713299259675491E+02    0.147838191009569595E+02    0.147850191586450368E+02   -0.688450435594616561E+01
    0.377670540426653423E+01    0.524644666553948724E+01    0.787288485449745679E+01    0.278556289463063944E+01    0.300795669915173436E+01    0.262069251811060349E+04    0.729474482784663839E-03    0.339585039017198387E-01    0.273647893197245473E+01    0.149399259029922806E+02    0.148705934934879878E+02    0.148809776199086450E+02   -0.666514674425309117E+01
    0.474964043781685330E+01    0.869781681895785530E+00    0.456988095986574194E+01    0.358016776086624366E+01    0.442843766215549817E+01    0.164214115183548979E+07    0.890056929467585412E+00    0.896281215573332846E+00    0.255624971476190188E+01    0.148934373387021122E+02    0.148370657867772699E+02    0.148366578086707257E+02   -0.664523036473710338E+01
    0.534654641059883140E+01    0.411770207856349924E+01    0.682751561506769855E+00    0.202842716221405839E+01    0.457117447672707300E+01    0.449615183962287556E+05    0.158879913177437521E+00    0.432196835636889354E+01    0.257899703482245179E+01    0.149084177925332106E+02    0.147964354600516170E+02    0.148173222860432681E+02   -0.653716735991658560E+01
    0.406898152973953398E+01    0.435524581140259137E+01    0.765252725418523383E+01    0.244992535190790539E+01    0.523641727172242177E+01    0.845541193114857934E+07    0.167600060051902943E+03    0.197318678035681971E+01    0.301739455717466321E+01    0.149009969949984225E+02    0.148367345241369275E+02    0.148019664876715566E+02   -0.650422016435596362E+01
    0.371877023753156255E+01    0.784338530317072724E+01    0.630682161190389046E+01    0.440826683954398479E+01    0.465610499199022243E+01    0.231568623538483098E+04    0.194961036724933638E-01    0.685145526061531784E+00    0.224417868689914135E+01    0.150726153829665002E+02    0.148622226453877211E+02    0.149274783638195210E+02   -0.642771260943640854E+01
    0.415317296981811523E+01    0.152274227142333984E+01    0.377816903591156006E+01    0.333679877504373312E+01    0.692077469640840803E+01    0.128240514819856435E+04    0.465628761777146674E-03    0.286947131156921387E+01    0.246806284844875323E+01    0.149864342741458305E+02    0.148900314840753740E+02    0.148680287916932201E+02   -0.640166922443518249E+01
    0.307352891836493836E+01    0.113096994121228467E+01    0.763953268711896261E+01    0.596788295110479616E+01    0.789247778859479521E+01    0.221853847981415720E+04    0.585708770837461458E-03    0.373303663167890676E+01    0.276660771291504393E+01    0.152670307286903117E+02    0.150438771748684594E+02    0.150216920798067832E+02   -0.621088390366664633E+01
    0.383172067211728695E+01    0.197512553491155529E+01    0.262122811267526501E+01    0.340346906339425548E+01    0.664687620764289733E+01    0.434007744610766240E+05    0.348110554488814256E-01    0.305284205085510241E+01    0.282153082045618664E+01    0.151214132047728498E+02    0.149283512784672734E+02    0.149554224404809535E+02   -0.621000910339463541E+01
    0.317416348334393117E+01    0.526619926145499129E+00    0.550946667496715925E+01    0.705411322711550248E+01    0.787613913276976962E+01    0.494878246030206697E+03    0.109167178126485988E-02    0.315247673803228246E+01    0.274173996244440055E+01    0.152037682984422915E+02    0.149211647379777137E+02    0.149954238319335627E+02   -0.617009375383648884E+01
    0.336157097764775115E+01    0.681846261818559340E+00    0.656832490236800126E+01    0.660755360949105075E+01    0.768817141917871538E+01    0.330264559643323123E+08    0.675904423625306237E+02    0.711640326841529669E+00    0.303786219183056705E+01    0.151381844767110536E+02    0.148356823755998413E+02    0.148916306243573491E+02   -0.607481044761707523E+01
    0.431392239686432610E+01    0.359178203944552044E+01    0.193498570903713651E+01    0.307212767054964253E+01    0.662496683262281039E+01    0.660766693248789990E+06    0.125950445084253526E+01    0.494243204443440032E+01    0.229607140087199380E+01    0.150060392346504639E+02    0.149404464098226235E+02    0.149338411454928277E+02   -0.607314583861339852E+01
    0.443683528748989531E+01    0.314112894058453707E+01    0.317920727021649796E+01    0.480511589584903831E+01    0.611444250259076405E+01    0.114982434899321757E+07    0.706530917217598198E+01    0.423511864391670212E+01    0.284186123363241983E+01    0.149148174329092722E+02    0.148449630169142566E+02    0.148137322851539892E+02   -0.606603593544821962E+01
    0.554806089401245117E+01    0.253205633163452148E+01    0.485418143868446350E+01    0.215840416960544745E+01    0.683700885509544776E+01    0.129379622044296473E+09    0.650597710323949769E+02    0.391303598880767822E+01    0.254300626170635224E+01    0.152482771747935146E+02    0.149505922108049809E+02    0.150066606448074307E+02   -0.604146193158554556E+01
    0.534002032128056925E+01    0.681571309311876483E+00    0.625437189731209564E+01    0.532200989254158685E+01    0.640189260746555711E+01    0.105303900459825163E+06    0.745664177907840675E+00    0.182532099349955512E+00    0.242233989926637516E+01    0.148410338281912573E+02    0.147869297671177335E+02    0.147924596794291823E+02   -0.601854894735897350E+01
    0.483502293720860088E+01    0.351029549597445145E+01    0.208284611286485966E+01    0.528717223996764840E+01    0.687098547591862996E+01    0.283751381026250124E+07    0.126602725275478134E+01    0.636121761543475273E-01    0.221569022688062800E+01    0.149047375736267327E+02    0.147981881644049533E+02    0.148406141988155298E+02   -0.590068658793364076E+01
    0.443646506930587048E+01    0.123106502751129399E+01    0.101420078397078584E+01    0.677720072634134141E+01    0.710649416709511517E+01    0.340578423532585497E+06    0.126551384280337498E+01    0.176834609331165710E+00    0.280784843742062495E+01    0.148687976793918093E+02    0.148349303393275900E+02    0.148161815732571416E+02   -0.589387546860910216E+01
    0.488703194256864482E+01    0.538506724454058117E+00    0.705407176176420236E+01    0.489927312474920029E+01    0.714371563172116630E+01    0.118011226717658970E+07    0.450641559253101232E+01    0.125895891758609846E+01    0.266963094078551677E+01    0.148621840559186928E+02    0.147929893288409424E+02    0.148041051966647679E+02   -0.583266300837977791E+01
    0.414233013079957946E+01    0.493416129928369307E+00    0.864769951167769668E+00    0.569994615865919663E+01    0.788834312894724121E+01    0.206329591167522585E+04    0.170314653122274938E-02    0.237010998737379452E+01    0.258688705668689467E+01    0.149566347333812679E+02    0.148882379335171713E+02    0.148714964701043595E+02   -0.576147513103530784E+01
    0.516573318733078679E+01    0.321756884228965534E+01    0.763349313211471170E+01    0.418103695197307346E+01    0.768690616915062108E+01    0.112668719361174125E+08    0.842597249944946327E+02    0.228364171669445026E+01    0.280230107933158745E+01    0.148307431077348806E+02    0.148025871993144875E+02    0.147858197354844414E+02   -0.564578303922850289E+01
    0.369193717872677940E+01    0.646105163178474573E+01    0.321074663626834500E+01    0.388152112579288566E+01    0.827145903386199066E+01    0.571464635724843293E+07    0.451127065452808935E+02    0.158142744491312426E+01    0.241826834712267935E+01    0.150441854658022418E+02    0.148509420469871252E+02    0.149292273640339062E+02   -0.554354024555380498E+01
    0.401201267857761579E+01    0.324763112131366327E+01    0.258504273949692731E+01    0.391902113455453005E+01    0.711839298567189793E+01    0.184419173832165986E+09    0.658321460064960888E+02    0.710865123255278730E+00    0.252036467997131997E+01    0.149779462881833343E+02    0.149141982955341277E+02    0.149077060999463278E+02   -0.547137381286096325E+01
    0.490084131881727014E+01    0.195280816289962811E+01    0.192185861382645440E+01    0.364848752219317785E+01    0.780353835991737288E+01    0.908783353032012004E+06    0.187767799522763958E+02    0.188967090630789869E+01    0.250868014307348330E+01    0.148623762679044287E+02    0.148288858255191993E+02    0.148117253199440899E+02   -0.545389018226476097E+01
    0.468631620537161364E+01    0.308928753834537284E+01    0.642542449691243345E+01    0.443694410336087586E+01    0.508106420736245479E+01    0.607066843490757037E+04    0.782832158520387345E-01    0.111801121437396356E+01    0.254763124930242046E+01    0.149022661313004594E+02    0.148560796474304730E+02    0.148292178607345768E+02   -0.531756853419888031E+01
    0.294358042312559132E+01    0.120063944715530502E+01    0.587358493797453196E+01    0.606209043336254894E+01    0.714414909401706844E+01    0.249311832670859849E+04    0.383639408872138625E-04    0.278118964869162433E+01    0.266729953617781534E+01    0.153651820662555707E+02    0.150061926360709883E+02    0.150929351377323080E+02   -0.531009073841029267E+01
    0.449074874892296894E+01    0.135999837049212213E+01    0.929604052393951608E+00    0.764812680371999143E+01    0.807486937357272616E+01    0.223609456625512303E+04    0.848455976496275191E-04    0.162508991416998638E+01    0.273836723289679762E+01    0.149090603992997721E+02    0.148034608427506313E+02    0.148384226454807049E+02   -0.526662107726465845E+01
    0.341935660888650084E+01    0.380077792343155307E+01    0.227597005355563153E+01    0.257254354918909467E+01    0.338339998181491142E+01    0.844772648387739249E+07    0.105487812738802106E+03    0.107340431266943398E+00    0.301879978213637479E+01    0.150709959486653506E+02    0.148167565865420627E+02    0.148616010180647464E+02   -0.524964064351147464E+01
    0.333397416794263357E+01    0.221198143878219700E+01    0.649213745964031652E+01    0.665486690913390433E+01    0.770808716682979345E+01    0.215817823570578999E+06    0.455290205005556337E+00    0.369636235309626082E+01    0.228692030041854011E+01    0.152289133103222625E+02    0.150706233193201893E+02    0.150702832446811108E+02   -0.524539584959817251E+01
    0.470758896233080026E+01    0.483891501514065769E+01    0.533773747172191104E+01    0.310519590005817747E+01    0.396223987947131517E+01    0.246062405384284072E+07    0.439948040992892864E+01    0.158583443492142817E+01    0.261110549404715186E+01    0.148930461842998234E+02    0.148211480479210920E+02    0.148222360416424319E+02   -0.523426358376111445E+01
    0.390477049367085272E+01    0.497156516044197583E+00    0.261799316489159173E+01    0.311835216095101231E+01    0.436708949439964833E+01    0.308395253316235244E+09    0.327379933448026577E+03    0.244705056337217619E+00    0.303532964020247586E+01    0.151479633285818238E+02    0.148293433111031483E+02    0.148336095748021464E+02   -0.522395049556013635E+01
    0.470173455064825507E+01    0.132668659842718972E+00    0.615125809581394734E+00    0.473399077446135141E+01    0.641730114446644162E+01    0.257523074257423150E+04    0.327878799792132025E-01    0.294889167712466449E+01    0.237309542742247048E+01    0.149094439924547348E+02    0.148229314359330235E+02    0.148324455814454019E+02   -0.520351774501959330E+01
